Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Zai Lab ADR, ZLAB, 24.8, 24.8, 23.81, 24.4, 0.28, 1.16, 18303, 35.74, 20.67, 0.0, 0.0, 0.0, 14.93, NASDAQ Global
Zillow Group Cl A, ZG, 44.06, 44.39, 43.47, 44.31, 0.51, 1.16, 218449, 50.91, 32.63, 0.0, 0.0, 0.0, 8.76, NASDAQ Global
American Vanguard, AVD, 21.85, 22.0, 21.4, 21.95, 0.25, 1.15, 106514, 24.0, 14.65, 0.06, 0.27, 40.65, 11.7, NYSE
Edison International, EIX, 61.7, 62.48, 61.63, 62.41, 0.71, 1.15, 2378528, 83.38, 60.64, 2.42, 3.88, 14.1, -1.31, NYSE
National Retail Properties, NNN, 41.02, 41.42, 40.77, 41.36, 0.47, 1.15, 1042949, 46.34, 36.45, 1.9, 4.59, 33.74, -4.1, NYSE
Teladoc, TDOC, 34.7, 35.5, 34.8, 35.3, 0.4, 1.15, 833720, 38.4, 18.95, 0.0, 0.0, 0.0, 1.29, NYSE
Telefonica Brasil ADR, VIV, 16.0, 16.94, 16.63, 16.78, 0.19, 1.15, 1608316, 16.94, 13.06, 0.0, 0.0, 20.65, 13.15, NYSE
Total System Services, TSS, 87.65, 89.03, 86.45, 88.28, 1.0, 1.15, 1802259, 89.03, 49.98, 0.52, 0.59, 27.94, 11.62, NYSE
Escalade, ESCA, 12.97, 13.15, 12.97, 13.15, 0.15, 1.15, 1702, 14.38, 11.3, 0.46, 3.5, 18.52, 6.91, NASDAQ Global
Marten Transport, MRTN, 21.75, 22.05, 21.35, 22.0, 0.25, 1.15, 262437, 22.35, 12.81, 0.1, 0.45, 36.26, 8.37, NASDAQ Global
National Beverage, FIZZ, 108.57, 110.58, 108.3, 109.4, 1.24, 1.15, 242842, 129.82, 48.39, 0.0, 0.0, 40.82, 12.27, NASDAQ Global
RTI Surgical, RTIX, 4.4, 4.5, 4.34, 4.4, 0.05, 1.15, 172036, 6.0, 3.0, 0.0, 0.0, 0.0, 7.32, NASDAQ Global
Cambridge Bancorp, CATC, 78.0, 78.96, 78.0, 78.89, 0.89, 1.14, 1165, 87.15, 70.0, 1.88, 2.38, 17.62, -1.14, NASDAQ Capital
Nexeo Solutions, NXEO, 9.68, 9.79, 9.65, 9.76, 0.11, 1.14, 109092, 10.13, 6.74, 0.0, 0.0, 51.37, 7.25, NASDAQ Capital
Recro Pharma, REPH, 8.78, 8.97, 8.69, 8.85, 0.1, 1.14, 147386, 10.59, 5.81, 0.0, 0.0, 0.0, -4.32, NASDAQ Capital
Chesapeake Utilities, CPK, 74.85, 75.7, 73.35, 75.6, 0.85, 1.14, 58799, 86.35, 63.8, 1.3, 1.72, 28.1, -3.76, NYSE
Gray Television, GTN, 17.5, 17.7, 17.4, 17.7, 0.2, 1.14, 572083, 17.73, 11.25, 0.0, 0.0, 9.78, 5.67, NYSE
Nam Tai Property, NTP, 13.15, 13.4, 13.1, 13.35, 0.15, 1.14, 195672, 13.4, 6.79, 0.28, 2.1, 458.76, 6.37, NYSE
RingCentral Cl A, RNG, 53.0, 53.7, 52.42, 53.25, 0.6, 1.14, 487284, 55.2, 21.9, 0.0, 0.0, 0.0, 10.02, NYSE
Unisys, UIS, 8.95, 9.0, 8.82, 8.9, 0.1, 1.14, 194259, 15.15, 6.9, 0.0, 0.0, 0.0, 9.2, NYSE
Worthington Industries, WOR, 48.68, 49.09, 48.07, 48.93, 0.55, 1.14, 347545, 53.27, 39.52, 0.84, 1.72, 17.86, 11.05, NYSE
Axon Enterprise, AAXN, 27.31, 27.52, 27.01, 27.52, 0.31, 1.14, 307002, 28.17, 20.57, 0.0, 0.0, 105.85, 3.85, NASDAQ Global
Southern Missouri Bancorp, SMBC, 37.82, 38.85, 37.05, 38.15, 0.43, 1.14, 14229, 40.8, 30.3, 0.44, 1.15, 17.5, 1.49, NASDAQ Global
Smith Micro Software, SMSI, 2.6, 2.75, 2.6, 2.68, 0.03, 1.13, 35245, 3.41, 0.8, 0.0, 0.0, 0.0, -5.63, NASDAQ Capital
Israel Chemicals, ICL, 4.45, 4.5, 4.45, 4.47, 0.05, 1.13, 261343, 4.95, 3.85, 0.0, 0.0, 6.19, 10.64, NYSE
